timestamp,pos_error_m,heading_error_deg,velocity_error_mps,time_diff_s
1662794064.387923,0.161248,0.094369,0.000000,0.000000
1662794064.925986,0.059587,0.089513,0.000000,0.000000
1662794065.438834,0.064038,0.411134,0.000000,0.000000
1662794065.946305,0.050617,0.243740,0.000000,0.000000
1662794066.447469,0.047563,0.409079,0.000000,0.000000
1662794066.947840,0.060863,0.673881,0.000000,0.000000
1662794067.474863,0.007111,0.092113,0.000000,0.000000
1662794068.008400,0.034416,0.040945,0.000000,0.000000
1662794068.516870,0.029651,0.530840,0.000000,0.000000
1662794069.027807,0.046658,0.952390,0.000000,0.000000
1662794069.537627,0.063916,1.573460,0.000000,0.000000
1662794070.069362,0.037496,0.801029,0.000000,0.000000
1662794070.585940,0.013022,0.909999,0.000000,0.000000
1662794071.104442,0.070988,0.629912,0.000000,0.000000
1662794071.610608,0.068571,0.109196,0.000000,0.000000
1662794072.138989,0.017734,0.069103,0.000000,0.000000
1662794072.656844,0.072997,0.061193,0.000000,0.000000
1662794073.188587,0.001285,0.256879,0.000000,0.000000
1662794073.711273,0.032197,0.530761,0.000000,0.000000
1662794074.236723,0.026202,1.150742,0.000000,0.000000
1662794074.773518,0.025954,0.227429,0.000000,0.000000
1662794075.279310,0.049754,0.215797,0.000000,0.000000
1662794075.817256,0.015457,0.209290,0.000000,0.000000
1662794076.328685,0.030453,0.423616,0.000000,0.000000
1662794076.838222,0.025935,0.184695,0.000000,0.000000
1662794077.348873,0.043184,0.043401,0.000000,0.000000
1662794077.849764,0.049493,0.251432,0.000000,0.000000
1662794078.377476,0.052123,0.234518,0.000000,0.000000
1662794078.884638,0.051641,0.450850,0.000000,0.000000
1662794079.419438,0.029075,1.075754,0.000000,0.000000
1662794079.957946,0.024443,0.435795,0.000000,0.000000
1662794080.467157,0.026023,0.437419,0.000000,0.000000
1662794081.005462,0.039259,0.630619,0.000000,0.000000
1662794081.512842,0.044631,0.788303,0.000000,0.000000
1662794082.012964,0.019643,1.343892,0.000000,0.000000
1662794082.529275,0.027360,0.461097,0.000000,0.000000
1662794083.038246,0.052577,0.023742,0.000000,0.000000
1662794083.553883,0.067295,0.311586,0.000000,0.000000
1662794084.064605,0.073240,0.606339,0.000000,0.000000
1662794084.565991,0.011080,0.024598,0.000000,0.000000
1662794085.096294,0.038157,0.361970,0.000000,0.000000
1662794085.635673,0.042719,0.597847,0.000000,0.000000
1662794086.145237,0.019867,1.020302,0.000000,0.000000
1662794086.664714,0.096513,2.397463,0.000000,0.000000
1662794087.175584,0.223506,2.660024,0.000000,0.000000
1662794087.685077,0.428994,3.059895,0.000000,0.000000
1662794088.127102,0.497081,2.948446,0.018716,0.000000
1662794088.477299,0.549497,1.659657,0.000000,0.000000
1662794088.742725,0.633901,0.262106,0.034362,0.000000
1662794088.970063,0.663562,0.753025,0.000000,0.000000
1662794089.155742,0.724222,1.309980,0.000000,0.000000
1662794089.297143,0.789333,1.554571,0.000000,0.000000
1662794089.418306,0.775776,1.458536,0.036199,0.000000
1662794089.513237,0.838817,1.393182,0.046036,0.000000
1662794089.594023,0.850882,1.280669,0.000000,0.000000
1662794089.654628,0.853406,1.112333,0.018661,0.000000
1662794089.715310,0.903080,0.653754,0.000000,0.000000
1662794089.776180,0.864090,0.479673,0.000000,0.000000
1662794089.838575,0.868269,0.162262,0.043379,0.000000
1662794089.879005,0.894434,0.370699,0.018348,0.000000
1662794089.899219,0.913469,0.360166,0.024681,0.000000
1662794089.959823,0.870247,0.861349,0.000000,0.000000
1662794089.983807,0.853894,1.225471,0.014961,0.000000
1662794090.024197,0.919755,1.766671,0.000000,0.000000
1662794090.107796,0.900616,2.236610,0.000000,0.000000
1662794090.168337,0.903345,2.592274,0.000000,0.000000
1662794090.208698,0.858438,2.730105,0.037460,0.000000
1662794090.269614,0.890299,3.084883,0.000000,0.000000
1662794090.351172,0.874755,3.685323,0.000000,0.000000
1662794090.432501,0.817071,4.128822,0.000000,0.000000
1662794090.493241,0.803358,4.163567,0.012007,0.000000
1662794090.555119,0.836144,4.336681,0.020056,0.000000
1662794090.635948,0.805998,4.575276,0.000000,0.000000
1662794090.716724,0.794162,4.790232,0.000000,0.000000
1662794090.778399,0.781341,4.888770,0.013187,0.000000
1662794090.878283,0.729248,4.733736,0.004246,0.000000
1662794090.981988,0.726521,4.127388,0.002884,0.000000
1662794091.086432,0.772641,3.644998,0.002944,0.000000
1662794091.187406,0.709961,2.777901,0.000000,0.000000
1662794091.288379,0.777968,2.217991,0.000000,0.000000
1662794091.372303,0.656063,1.243102,0.007358,0.000000
