# Auto-generated GT cone map template
# format: x,y,z
1.800,-12.330,-0.002
1.685,-9.505,-0.089
1.010,-5.444,-0.083
0.438,-1.589,-0.005
4.478,-9.639,-0.225
2.505,-5.363,-0.130
5.168,-6.706,-0.269
3.766,-3.334,-0.202
11.073,-2.361,-0.288
11.301,0.651,-0.266
6.348,5.005,-0.382
3.683,3.815,-0.240
5.680,7.699,-0.401
29.194,38.251,0.137
24.728,39.327,0.384
0.485,1.478,-0.045
2.736,7.440,-0.215
14.117,39.127,0.475
4.061,13.521,-0.340
12.691,39.821,0.097
3.116,10.987,-0.265
1.016,41.858,0.107
0.282,13.428,-0.303
8.004,-3.586,-0.397
8.225,2.360,-0.435
4.415,-11.743,-0.200
5.560,10.092,-0.373
1.515,40.999,-0.161
22.554,-69.272,0.156
13.875,-2.693,-0.355
1.928,-15.383,-0.044
0.313,-12.452,-0.075
0.531,-9.601,-0.030
3.382,-9.784,-0.175
4.157,-6.822,-0.226
0.529,-46.721,0.333
10.161,-2.520,-0.259
3.276,-11.785,-0.191
2.806,-3.442,-0.162
7.034,-3.700,-0.378
10.373,0.496,-0.268
7.314,2.244,-0.422
5.453,4.894,-0.364
2.780,3.704,-0.202
4.810,7.569,-0.353
1.798,7.364,-0.204
2.310,10.895,-0.250
1.296,-15.383,-0.036
