epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1848.72,1.43138,0.44607,0.00321,0.94661,0.93608,0.96838,0.59614,1.44556,0.41925,0.00483,0.00132955,0.00132955,0.00132955
43,1891.72,1.42824,0.44783,0.0033,0.94419,0.95031,0.96374,0.62348,1.39355,0.41613,0.00467,0.00132476,0.00132476,0.00132476
44,1935.49,1.42274,0.43772,0.00316,0.93662,0.95006,0.96478,0.5834,1.43898,0.42285,0.00484,0.00131987,0.00131987,0.00131987
45,1979.67,1.42978,0.44009,0.00319,0.94508,0.94646,0.96943,0.62102,1.42334,0.40895,0.00481,0.00131488,0.00131488,0.00131488
46,2022.82,1.43016,0.43886,0.00322,0.94898,0.92696,0.96497,0.57938,1.48477,0.4512,0.00497,0.00130979,0.00130979,0.00130979
47,2066.54,1.4354,0.4408,0.00316,0.94516,0.94427,0.96844,0.61012,1.44635,0.42142,0.00477,0.00130459,0.00130459,0.00130459
48,2109.89,1.43588,0.43607,0.0032,0.94419,0.93429,0.96805,0.60303,1.45681,0.42491,0.00488,0.0012993,0.0012993,0.0012993
49,2153.94,1.42954,0.43385,0.00312,0.92476,0.9336,0.94919,0.60184,1.42085,0.44284,0.00475,0.00129391,0.00129391,0.00129391
50,2197.36,1.4074,0.42023,0.0031,0.94621,0.9404,0.9648,0.61021,1.45259,0.4091,0.00486,0.00128842,0.00128842,0.00128842
51,2240.84,1.41495,0.43127,0.00318,0.93363,0.93245,0.9541,0.55922,1.54599,0.46885,0.00509,0.00128283,0.00128283,0.00128283
52,2283.45,1.40913,0.43179,0.00313,0.92481,0.93582,0.96121,0.6136,1.40175,0.44092,0.00463,0.00127714,0.00127714,0.00127714
53,2326.96,1.40967,0.43539,0.00313,0.94425,0.9455,0.96796,0.60745,1.42483,0.41413,0.00468,0.00127136,0.00127136,0.00127136
54,2370.29,1.41973,0.43058,0.00319,0.93195,0.9414,0.96532,0.5852,1.46483,0.43917,0.00485,0.00126549,0.00126549,0.00126549
55,2413.93,1.40617,0.42293,0.00314,0.93331,0.93374,0.95626,0.57481,1.49153,0.45037,0.0049,0.00125952,0.00125952,0.00125952
56,2456.95,1.41081,0.43091,0.00313,0.94234,0.94007,0.9645,0.61006,1.42744,0.41752,0.0048,0.00125346,0.00125346,0.00125346
57,2500.05,1.39922,0.42375,0.0031,0.93978,0.92807,0.95843,0.55053,1.55222,0.4575,0.00501,0.00124731,0.00124731,0.00124731
58,2542.82,1.39781,0.43281,0.00305,0.92864,0.93077,0.95596,0.57254,1.48579,0.46478,0.00487,0.00124107,0.00124107,0.00124107
59,2587.65,1.38914,0.42048,0.00305,0.94162,0.93014,0.96513,0.5804,1.51337,0.43664,0.00501,0.00123474,0.00123474,0.00123474
60,2632.68,1.39824,0.42392,0.00307,0.94762,0.94591,0.96755,0.59696,1.4635,0.42523,0.00486,0.00122832,0.00122832,0.00122832
61,2675.5,1.39984,0.42624,0.00308,0.93652,0.93646,0.96548,0.58044,1.51479,0.43861,0.00502,0.00122182,0.00122182,0.00122182
62,2719.35,1.3757,0.41892,0.00305,0.94299,0.94556,0.96493,0.57011,1.5011,0.43591,0.00492,0.00121523,0.00121523,0.00121523
63,2762.94,1.38546,0.42286,0.00308,0.95141,0.93188,0.96461,0.58066,1.48677,0.4241,0.00489,0.00120856,0.00120856,0.00120856
64,2807.77,1.39,0.41859,0.00315,0.93989,0.92387,0.9587,0.5537,1.53714,0.47678,0.00505,0.0012018,0.0012018,0.0012018
65,2851.22,1.39186,0.424,0.00307,0.93494,0.92413,0.95678,0.53325,1.56429,0.47122,0.00515,0.00119496,0.00119496,0.00119496
66,2894.3,1.39197,0.41694,0.00305,0.93212,0.92716,0.95671,0.56738,1.5095,0.44378,0.00504,0.00118804,0.00118804,0.00118804
67,2939.47,1.37909,0.41713,0.00301,0.9198,0.91643,0.9493,0.54668,1.53515,0.48895,0.00507,0.00118104,0.00118104,0.00118104
68,2983.28,1.36964,0.41327,0.00307,0.92044,0.90886,0.9439,0.53398,1.5945,0.49265,0.00525,0.00117396,0.00117396,0.00117396
69,3026.24,1.37708,0.41519,0.00306,0.94348,0.94373,0.96884,0.59503,1.44915,0.43249,0.00482,0.0011668,0.0011668,0.0011668
70,3070.38,1.37284,0.41234,0.00304,0.93391,0.92929,0.96176,0.56701,1.53383,0.4358,0.00505,0.00115956,0.00115956,0.00115956
71,3114.61,1.36457,0.4145,0.00301,0.94485,0.94364,0.96441,0.5991,1.48427,0.4221,0.0049,0.00115226,0.00115226,0.00115226
72,3157.58,1.36717,0.42546,0.00301,0.93832,0.94024,0.96393,0.56698,1.51222,0.45684,0.005,0.00114487,0.00114487,0.00114487
73,3200.81,1.37666,0.41275,0.00301,0.91696,0.93442,0.94927,0.56831,1.55156,0.47331,0.00517,0.00113742,0.00113742,0.00113742
74,3244.82,1.35777,0.40386,0.00301,0.94249,0.94248,0.9634,0.56597,1.53416,0.44196,0.00511,0.00112989,0.00112989,0.00112989
75,3291.11,1.3879,0.41297,0.00307,0.9163,0.92743,0.94664,0.53083,1.56343,0.48538,0.00518,0.0011223,0.0011223,0.0011223
76,3335.68,1.3456,0.40089,0.00304,0.93847,0.9345,0.95998,0.56477,1.53385,0.45697,0.00505,0.00111463,0.00111463,0.00111463
77,3379.48,1.36471,0.41078,0.00296,0.92164,0.94077,0.95602,0.57601,1.477,0.44035,0.00488,0.0011069,0.0011069,0.0011069
78,3424.27,1.36122,0.41073,0.00295,0.93636,0.90652,0.94571,0.56507,1.5171,0.48198,0.00506,0.0010991,0.0010991,0.0010991
79,3467.88,1.35741,0.40464,0.00298,0.94872,0.93774,0.96093,0.57903,1.50819,0.4419,0.00501,0.00109124,0.00109124,0.00109124
80,3511.04,1.36315,0.40395,0.00302,0.94452,0.92958,0.96296,0.56792,1.49586,0.45099,0.00499,0.00108331,0.00108331,0.00108331
81,3554.33,1.34858,0.40882,0.00299,0.9361,0.92989,0.96371,0.5878,1.49929,0.46243,0.00498,0.00107532,0.00107532,0.00107532
82,3598.22,1.36546,0.40671,0.00301,0.93452,0.93222,0.95489,0.57386,1.49856,0.45457,0.00502,0.00106727,0.00106727,0.00106727
83,3641.52,1.36043,0.41046,0.00303,0.9479,0.92843,0.96159,0.57846,1.50996,0.4634,0.005,0.00105917,0.00105917,0.00105917
84,3685.78,1.34592,0.40205,0.00296,0.92934,0.91937,0.94794,0.55571,1.56063,0.50423,0.00516,0.001051,0.001051,0.001051
85,3730.09,1.33041,0.39235,0.00294,0.93622,0.92417,0.9561,0.58062,1.5201,0.47193,0.00503,0.00104278,0.00104278,0.00104278
86,3774.61,1.34282,0.39661,0.00296,0.91703,0.93152,0.95218,0.57386,1.53096,0.47845,0.00504,0.0010345,0.0010345,0.0010345
87,3817.96,1.34592,0.40461,0.00298,0.9397,0.90091,0.94466,0.56425,1.51902,0.50873,0.005,0.00102617,0.00102617,0.00102617
88,3861.28,1.34346,0.40265,0.003,0.91784,0.92714,0.95156,0.56353,1.53551,0.49414,0.00514,0.00101779,0.00101779,0.00101779
89,3903.76,1.34367,0.39727,0.00299,0.94523,0.8927,0.94945,0.56601,1.51605,0.50371,0.00505,0.00100935,0.00100935,0.00100935
90,3947.59,1.32336,0.39901,0.0029,0.92119,0.9458,0.96651,0.58931,1.50751,0.4527,0.00494,0.00100087,0.00100087,0.00100087
91,3991,1.3446,0.40338,0.00293,0.92815,0.92731,0.9642,0.57726,1.49348,0.47746,0.0049,0.000992338,0.000992338,0.000992338
92,4035.92,1.33157,0.39124,0.00296,0.95154,0.89897,0.96531,0.59257,1.47057,0.46396,0.00481,0.000983761,0.000983761,0.000983761
93,4079.58,1.33199,0.3961,0.0029,0.93709,0.90899,0.95948,0.57215,1.49039,0.48954,0.00497,0.000975138,0.000975138,0.000975138
94,4124.24,1.35499,0.39928,0.00291,0.93557,0.92689,0.96225,0.58861,1.46275,0.47856,0.00484,0.000966473,0.000966473,0.000966473
95,4167.93,1.31592,0.39327,0.00289,0.92356,0.92097,0.95438,0.57524,1.49463,0.49735,0.00498,0.000957765,0.000957765,0.000957765
96,4212.25,1.32142,0.3885,0.00291,0.9307,0.90089,0.95101,0.56478,1.51343,0.50468,0.00507,0.000949017,0.000949017,0.000949017
97,4256.79,1.31627,0.39446,0.00292,0.92105,0.88868,0.93539,0.55573,1.49491,0.55393,0.00499,0.00094023,0.00094023,0.00094023
98,4300.18,1.33609,0.40166,0.00295,0.93414,0.90535,0.95467,0.55626,1.52515,0.50401,0.00507,0.000931405,0.000931405,0.000931405
99,4343.54,1.30489,0.38762,0.0029,0.92837,0.92096,0.95337,0.53832,1.53434,0.52355,0.00515,0.000922545,0.000922545,0.000922545
100,4387.94,1.33003,0.38915,0.00287,0.93066,0.8977,0.94729,0.55079,1.54061,0.51456,0.00506,0.00091365,0.00091365,0.00091365
101,4431.78,1.30979,0.39011,0.00287,0.93145,0.88405,0.95091,0.5442,1.55677,0.52703,0.00519,0.000904722,0.000904722,0.000904722
102,4475.31,1.29361,0.37813,0.00285,0.94576,0.91573,0.9594,0.56929,1.5101,0.48564,0.00504,0.000895763,0.000895763,0.000895763
103,4519.32,1.31143,0.38644,0.00288,0.94024,0.9046,0.95474,0.55728,1.53366,0.51935,0.00507,0.000886774,0.000886774,0.000886774
104,4562.72,1.29419,0.3717,0.00281,0.93309,0.90328,0.94854,0.5477,1.53985,0.53282,0.00521,0.000877756,0.000877756,0.000877756
105,4607.13,1.3005,0.38156,0.00288,0.93596,0.92876,0.96284,0.58331,1.48915,0.4762,0.00496,0.000868712,0.000868712,0.000868712
106,4651.22,1.29186,0.37804,0.00277,0.93742,0.90848,0.95512,0.55847,1.50795,0.4994,0.00505,0.000859643,0.000859643,0.000859643
107,4694.89,1.29807,0.37761,0.00286,0.92759,0.9048,0.95073,0.55548,1.52469,0.52631,0.00509,0.00085055,0.00085055,0.00085055
108,4739.34,1.30398,0.38458,0.00285,0.90834,0.8968,0.94052,0.52754,1.54906,0.54369,0.00517,0.000841435,0.000841435,0.000841435
109,4783.09,1.30582,0.3808,0.00285,0.9257,0.918,0.95635,0.5595,1.5299,0.50171,0.00512,0.0008323,0.0008323,0.0008323
110,4827.42,1.29356,0.3778,0.00279,0.93808,0.90143,0.95413,0.56449,1.51296,0.52604,0.00502,0.000823145,0.000823145,0.000823145
111,4872.32,1.27861,0.36954,0.00278,0.92659,0.91592,0.95065,0.55021,1.54743,0.52917,0.00519,0.000813973,0.000813973,0.000813973
112,4917.15,1.30358,0.38226,0.00285,0.94892,0.91314,0.96002,0.58743,1.48528,0.46992,0.00488,0.000804786,0.000804786,0.000804786
113,4961.78,1.27817,0.37393,0.0028,0.92844,0.90794,0.9549,0.57088,1.49759,0.51066,0.00498,0.000795584,0.000795584,0.000795584
114,5006.07,1.28839,0.3746,0.00276,0.92504,0.90472,0.95228,0.5548,1.51623,0.52485,0.00508,0.000786369,0.000786369,0.000786369
115,5050.11,1.27386,0.37349,0.00271,0.92948,0.90229,0.95346,0.56562,1.50193,0.52594,0.00503,0.000777143,0.000777143,0.000777143
116,5093.86,1.27892,0.37196,0.00273,0.92569,0.88739,0.94345,0.55931,1.51173,0.56281,0.00506,0.000767908,0.000767908,0.000767908
117,5138.67,1.27233,0.36928,0.00276,0.92674,0.90906,0.9534,0.56276,1.50846,0.54481,0.00505,0.000758665,0.000758665,0.000758665
118,5181.88,1.27876,0.37329,0.00275,0.92778,0.91138,0.95648,0.56088,1.50928,0.54144,0.00506,0.000749416,0.000749416,0.000749416
119,5226.1,1.26985,0.37243,0.00276,0.93724,0.89858,0.94932,0.55229,1.53575,0.52742,0.00512,0.000740161,0.000740161,0.000740161
120,5269.75,1.25898,0.37006,0.00268,0.92704,0.91387,0.9459,0.55314,1.53392,0.5419,0.00513,0.000730904,0.000730904,0.000730904
121,5312.88,1.25836,0.36667,0.00275,0.91817,0.89941,0.94183,0.55902,1.54367,0.56977,0.00523,0.000721645,0.000721645,0.000721645
122,5357.39,1.25822,0.36499,0.00269,0.93034,0.89934,0.94674,0.56257,1.51076,0.55563,0.00508,0.000712386,0.000712386,0.000712386
123,5401.62,1.27986,0.37409,0.0028,0.93902,0.90431,0.94898,0.55947,1.51238,0.53982,0.00507,0.000703129,0.000703129,0.000703129
