scenario,frames,fused_frames,raw_fallback_frames,fused_ratio,raw_fallback_ratio,reason_counts,wait_p50_ms,wait_p95_ms,wait_p99_ms,wait_max_ms,gap_p99_ms,gap_max_ms
trackdrive_decision,173,0,173,0.000,1.000,"{""no_fused"": 173}",125.624,129.5878,130.65475999999998,132.57,111.5257568359375,113.11376953125
autocross_decision,172,0,172,0.000,1.000,"{""no_fused"": 172}",125.08,129.9383,131.1139,132.02,131.351123046875,141.546630859375
skidpad_decision,173,0,173,0.000,1.000,"{""no_fused"": 173}",155.44,159.6624,160.73552,182.737,121.4221337890625,122.00341796875
acceleration_decision,173,0,173,0.000,1.000,"{""no_fused"": 173}",104.849,109.6258,111.0246,115.615,112.05418701171874,121.174072265625
