scenario,frames,fused_frames,raw_fallback_frames,fused_ratio,raw_fallback_ratio,reason_counts,wait_p50_ms,wait_p95_ms,wait_p99_ms,wait_max_ms,gap_p99_ms,gap_max_ms
raw_only,40,0,40,0.000,1.000,"{""no_fused"": 40}",89.3935,89.93524000000001,89.994564,90.015,110.2158837890625,110.236572265625
same_stamp_normal_merge,40,40,0,1.000,0.000,"{""normal_merge"": 40}",10.0778,10.32558,10.42896,10.4625,100.848701171875,100.88525390625
late_fused_within_budget,40,0,40,0.000,1.000,"{""no_fused"": 40}",85.06555,85.512935,85.60905100000001,85.6555,100.4444873046875,100.4677734375
late_fused_over_deadline,40,0,40,0.000,1.000,"{""no_fused"": 40}",89.02455,89.31087000000001,89.339311,89.353,100.29173828125,100.297119140625
intermittent_drop_count_mismatch,48,12,36,0.250,0.750,"{""count_mismatch"": 12, ""no_fused"": 24, ""normal_merge"": 12}",50.4018,89.92244000000001,89.989107,90.0041,170.489111328125,170.507080078125
duplicate_stale_finalize,36,18,18,0.500,0.500,"{""no_fused"": 18, ""normal_merge"": 18}",50.33135,81.23230000000001,81.37592,81.4392,161.246796875,161.306396484375
callback_timer_pressure,80,0,80,0.000,1.000,"{""no_fused"": 80}",80.80449999999999,89.970625,90.01003899999999,90.0384,60.4209130859375,60.453857421875
